relevance_tier,relevance_confidence,relevance_reason,rank,score,role,editorial_bucket,title,primary_phylum,primary_genus,matched_groups,inputs,outputs,claims,strategic_note,paper_url,paper_arxiv_id,abstract
core_reconstruction,high,core genus=3D Reconstruction with direct reconstruction/geometry signal,13,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Gen3R: 3D Scene Generation Meets Feed-Forward Reconstruction,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy; generation_editing,video / temporal; RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface; editable / generative 3D,foundation/prior; unified pipeline; robustness; dynamic; editing/generation,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"We present Gen3R, a method that bridges the strong priors of foundational reconstruction models and video diffusion models for scene-level 3D generation. We repurpose the VGGT reconstruction model to produce geometric latents by training an adapter on its tokens, which are regularized to align with the appearance latents of pre-trained video diffusion models. By jointly generating these disentangled yet aligned latents, \method{} produces both RGB videos and corresponding 3D geometry, including camera poses, depth maps, and global point clouds. Experiments demonstrate that our approach achieves state-of-the-art results in single- and multi-image conditioned 3D scene generation. Additionally, our method can enhance the robustness of reconstruction by leveraging generative priors, demonstrating the mutual benefit of tightly coupling reconstruction and generative models."
core_reconstruction,high,core genus=3D Reconstruction with direct reconstruction/geometry signal,14,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Generalizable Sparse-View 3D Reconstruction from Unconstrained Images,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; depth_correspondence; surface_occupancy; data_benchmark,sparse multi-view; multi-view images; RGB-D / depth,depth / normals; mesh / surface,foundation/prior; unified pipeline; efficiency; dynamic; benchmark/data,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Reconstructing 3D scenes from sparse, unposed images remains challenging under real-world conditions with varying illumination and transient occlusions. Existing methods rely on scene-specific optimization with appearance embeddings or dynamic masks, requiring extensive per-scene training and failing under sparse views. Moreover, evaluations on limited scenes raise questions about generalization. We present GenWildSplat, a feed-forward framework for sparse-view outdoor reconstruction that requires no per-scene optimization. Given unposed internet images, GenWildSplat predicts depth, camera parameters, and 3D Gaussians in a canonical space using learned geometric priors. An appearance adapter modulates appearance for target lighting conditions, while semantic segmentation handles transient objects. Through curriculum learning on synthetic and real data, GenWildSplat generalizes across diverse illumination and occlusion patterns. Evaluations on PhotoTourism and a new 20-scene MegaScenes benchmark demonstrate state-of-the-art feed-forward reconstruction quality, achieving real-time inference without test-time optimization."
core_reconstruction,high,VGGT/feed-forward geometry lineage with direct geometry signal,15,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Generalizing Visual Geometry Priors to Sparse Gaussian Occupancy Prediction,Autonomous Driving,Autonomous Driving,vggt_lineage; gaussian_radiance; depth_correspondence; surface_occupancy; robotics_mapping,single image; video / temporal; LiDAR / driving; RGB-D / depth,depth / normals; Gaussian map; mesh / surface; occupancy / voxel; radiance field / NVS,foundation/prior; unified pipeline; efficiency; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Accurate 3D scene understanding is essential for embodied intelligence, with occupancy prediction emerging as a key task for reasoning about both objects and free space. Existing approaches largely rely on depth priors (e.g., DepthAnything) but make only limited use of 3D cues, restricting performance and generalization. Recently, visual geometry models such as VGGT have shown strong capability in providing rich 3D priors, but similar to monocular depth foundation models, they still operate at the level of visible surfaces rather than volumetric interiors, motivating us to explore how to more effectively leverage these increasingly powerful geometry priors for 3D occupancy prediction.We present GPOcc, a framework that leverages generalizable visual geometry priors (GPs) for monocular occupancy prediction. Our method extends surface points inward along camera rays to generate volumetric samples, which are represented as Gaussian primitives for probabilistic occupancy inference. To handle streaming input, we further design a training-free incremental update strategy that fuses per-frame Gaussians into a unified global representation. Experiments on Occ-ScanNet and EmbodiedOcc-ScanNet demonstrate significant gains: GPOcc improves mIoU by +9.99 in the monocular setting and +11.79 in the streaming setting over prior state of the art. Under the same depth prior, it achieves +6.73 mIoU while running 2.65 $\times$ faster. These results highlight that GPOcc leverages geometry priors more effectively and efficiently. Code will be released."
core_reconstruction,high,core genus=3D Reconstruction with direct reconstruction/geometry signal,16,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,GGPT: Geometry-Grounded Point Transformer,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy,multi-view images; multimodal / language,camera pose; point map / point cloud; mesh / surface,foundation/prior; unified pipeline; efficiency,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Recent feed-forward networks have achieved remarkable progress in sparse-view 3D reconstruction by predicting dense point maps directly from RGB images. However, they often suffer from geometric inconsistencies and limited fine-grained accuracy due to the absence of explicit multi-view constraints. We introduce the Geometry-Grounded Point Transformer (GGPT), a framework that augments feed-forward reconstruction with reliable sparse geometric guidance. We first propose an improved Structure-from-Motion pipeline based on dense feature matching and lightweight geometric optimisation to efficiently estimate accurate camera poses and partial 3D point clouds from sparse input views.Building on this foundation, we propose a geometry-guided 3D point transformer that refines dense point maps under explicit sparse-geometry supervision using an optimised guidance encoding. Extensive experiments demonstrate that our method provides a principled mechanism for integrating geometric priors with dense feed-forward predictions, producing reconstructions that are both geometrically consistent and spatially complete, recovering fine structures and filling gaps in textureless areas.Trained solely on ScanNet++ with VGGT predictions, GGPT generalises across architectures and datasets, substantially outperforming state-of-the-art feed-forward 3D reconstruction models in both in-domain and out-of-domain settings. All code and pre-trained models will be released publicly."
core_reconstruction,high,core genus=3D Reconstruction with direct reconstruction/geometry signal,18,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,HeSS: Head Sensitivity Score for Sparsity Redistribution in VGGT,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; surface_occupancy,,mesh / surface,efficiency; robustness,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Visual Geometry Grounded Transformer (VGGT) has shown significant progress in 3D vision tasks. However, its global attention layers incur quadratic computational cost with respect to the number of input views, becoming a critical bottleneck for scalability. Several sparsification-based acceleration techniques have been proposed to alleviate this issue, but they often suffer from substantial accuracy degradation. We hypothesize that the accuracy degradation stems from the heterogeneity in head-wise sparsification sensitivity, as the existing methods apply a uniform sparsity pattern across all heads. Motivated by this hypothesis, we present a two-stage sparsification pipeline that effectively quantifies and exploits head-wise sparsification sensitivity. In the first stage, we measure head-wise sparsification sensitivity using a novel metric, the Head Sensitivity Score (HeSS), which approximates the Hessian with respect to two distinct error terms on a small calibration set. In the inference stage, we perform HeSS-Guided Sparsification, leveraging the pre-computed HeSS to reallocate the total attention budget—assigning denser attention to sensitive heads and sparser attention to more robust ones. We demonstrate that HeSS effectively captures head-wise sparsification sensitivity and empirically confirm that attention heads in the global attention layers exhibit heterogeneous sensitivity characteristics. Extensive experiments further show that our method effectively mitigates performance degradation under high sparsity, demonstrating strong robustness across varying sparsification levels."
core_reconstruction,high,core genus=3D Reconstruction with direct reconstruction/geometry signal,19,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,HTTM: Head-wise Temporal Token Merging for Faster VGGT,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy,video / temporal,camera pose; mesh / surface,efficiency; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"The Visual Geometry Grounded Transformer (VGGT) marks a significant leap forward in 3D scene reconstruction, as it is the first model that directly infers all key 3D attributes (camera poses, depths, and dense geometry) jointly in one pass. However, this joint inference mechanism requires global attention layers that perform all-to-all attention computation on tokens from all views. For reconstruction of large scenes with long-sequence inputs, this causes a significant latency bottleneck. In this paper, we propose head-wise temporal merging (HTTM), a training-free 3D token merging method for accelerating VGGT.Existing merging techniques merge tokens uniformly across different attention heads, resulting in identical tokens in the layers' output, which hinders the model's representational ability. HTTM tackles this problem by merging tokens in multi-head granularity, which preserves the uniqueness of feature tokens after head concatenation. Additionally, this enables HTTM to leverage the spatial locality and temporal correspondence observed at the head level to achieve higher merging ratios with lower merging costs compared to existing methods. Thus, HTTM achieves up to $7\times$ acceleration with negligible performance drops in a GPU-based inference."
core_reconstruction,high,core genus=3D Reconstruction with direct reconstruction/geometry signal,20,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,LASER: Layer-wise Scale Alignment for Training-Free Streaming 4D Reconstruction,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy,single image; video / temporal; RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface; 4D scene,foundation/prior; unified pipeline; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Recent feed-forward reconstruction models like VGGT and $\pi^3$ achieve impressive reconstruction quality but cannot process streaming videos due to quadratic memory complexity, limiting their practical deployment. While existing streaming methods address this through learned memory mechanisms or causal attention, they require extensive retraining and may not fully leverage the strong geometric priors of state-of-the-art offline models. We propose LASER, a training-free framework that converts an offline reconstruction model into a streaming system byaligning predictions across consecutive temporal windows. We observe that simple similarity transformation ($Sim(3)$) alignment fails due to layer depth misalignment: monocular scale ambiguity causes relative depth scales of different scene layers to vary inconsistently between windows. To address this, we introduce layer-wise scale alignment, which segments depth predictions into discrete layers, computes per-layer scale factors, and propagates them across both adjacent windows and timestamps.Extensive experiments show that LASER achieves state-of-the-art performance on camera pose estimation and point map reconstruction while operating at 14 FPS with 6 GB peak memory on a RTX A6000 GPU, enabling practical deployment for kilometer-scale streaming videos.Our code will be released publicly."
core_reconstruction,high,core genus=3D Reconstruction with direct reconstruction/geometry signal,21,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Learning 3D Reconstruction with Priors in Test Time,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy,multi-view images; RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface,foundation/prior; unified pipeline,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"We introduce a test-time framework for multiview Transformers (MVTs) that    incorporates priors (e.g., camera poses, intrinsics, and depth) to improve 3D tasks,     without retraining or modifying the pre-trained image-only networks.    Rather than feeding priors into the architecture,    we cast them as constraints on the predictions and optimize the network at inference.    The optimization loss is composed of a self-supervised objective and prior penalty terms.    The self-supervised objective is defined as the compatibility among multi-view predictions,     implemented by the photometric or geometric loss between the renderings from other views and each view itself.    Any available priors are turned into the penalty terms on the corresponding output modalities.    Across a series of 3D vision benchmarks, including point map estimation and camera pose estimation,     our method consistently improves performance over base MVTs by a large margin.    On ETH3D, 7-Scenes, and NRGBD datasets, our method cuts the point map distance error by more than half compared to the base image-only models.    Our method also outperforms those re-trained prior-aware feed-forward methods,    demonstrating the effectiveness of our test-time constrained optimization (TCO) framework, in incorporating priors for 3D vision tasks."
core_reconstruction,high,VGGT/feed-forward geometry lineage with direct geometry signal,22,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Learning to Drive is a Free Gift: Large-Scale Label-Free Autonomy Pretraining from Unposed In-The-Wild Videos,Autonomous Driving,Autonomous Driving,vggt_lineage; pose_calibration_localization; dynamic_4d; robotics_mapping; data_benchmark,single image; video / temporal; LiDAR / driving; multimodal / language,camera pose; point map / point cloud; 4D scene,foundation/prior; unified pipeline; scale; robustness; dynamic; benchmark/data,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Ego-centric driving videos available online provide an abundant source of visual data for autonomous driving, yet their lack of annotations makes it difficult to learn representations that capture both semantic structure and 3D geometry. Recent advances in large feedforward spatial models demonstrate that point maps and ego-motion can be inferred in a single forward pass, suggesting a promising direction for scalable driving perception. We therefore propose a label-free, teacher-guided framework for learning autonomous driving representations directly from unposed videos. Unlike prior self-supervised approaches that focus primarily on frame-to-frame consistency, we posit that safe and reactive driving depends critically on temporal context. To this end, we leverage a feedforward architecture equipped with a lightweight autoregressive module, trained using multi-modal supervisory signals that guide the model to jointly predict current and future point maps, camera poses, semantic layouts, and motion masks. Multi-modal teachers provide sequence-level pseudo-supervision, enabling LFG to learn a unified pseudo-4D representation from raw YouTube videos without poses, labels, or LiDAR. The resulting encoder not only transfers effectively to downstream autonomous driving planning on the NAVSIM benchmark, surpassing multi-camera and LiDAR baselines with only a single monocular camera, but also yields strong performance when evaluated on a range of semantic, geometric, and motion prediction tasks. These geometry- and motion-aware features position LFG as a compelling video-centric foundation model for autonomous driving."
core_reconstruction,high,core genus=3D Reconstruction with direct reconstruction/geometry signal,23,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,LongStream: Long-Sequence Streaming Autoregressive Visual Geometry,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; dynamic_4d; surface_occupancy,video / temporal,mesh / surface,efficiency; scale; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Long-sequence streaming 3D reconstruction remains a significant open challenge. Existing autoregressive models often fail when processing long sequences. They typically anchor poses to the first frame, which leads to attention decay, scale drift, and extrapolation errors. We introduce LongStream, a novel gauge-decoupled streaming visual geometry model for metric-scale scene reconstruction across thousands of frames. Our approach is threefold. First, we discard the first-frame anchor and predict keyframe-relative poses. This reformulates long-range extrapolation into a constant-difficulty local task. Second, we introduce orthogonal scale learning. This method fully disentangles geometry from scale estimation to suppress drift. Finally, we solve Transformer cache issues such as attention-sink reliance and long-term KV-cache contamination. We propose cache-consistent training combined with periodic cache refresh. This approach suppresses attention degradation over ultra-long sequences and reduces the gap between training and inference.Experiments show LongStream achieves state-of-the-art performance. It delivers stable, metric-scale reconstruction over kilometer-scale sequences at 18 FPS."
