rank,score,role,editorial_bucket,title,primary_phylum,primary_genus,matched_groups,inputs,outputs,claims,strategic_note,paper_url,paper_arxiv_id,abstract
11,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Generalizable Sparse-View 3D Reconstruction from Unconstrained Images,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; depth_correspondence; surface_occupancy; data_benchmark,sparse multi-view; multi-view images; RGB-D / depth,depth / normals; mesh / surface,foundation/prior; unified pipeline; efficiency; dynamic; benchmark/data,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Reconstructing 3D scenes from sparse, unposed images remains challenging under real-world conditions with varying illumination and transient occlusions. Existing methods rely on scene-specific optimization with appearance embeddings or dynamic masks, requiring extensive per-scene training and failing under sparse views. Moreover, evaluations on limited scenes raise questions about generalization. We present GenWildSplat, a feed-forward framework for sparse-view outdoor reconstruction that requires no per-scene optimization. Given unposed internet images, GenWildSplat predicts depth, camera parameters, and 3D Gaussians in a canonical space using learned geometric priors. An appearance adapter modulates appearance for target lighting conditions, while semantic segmentation handles transient objects. Through curriculum learning on synthetic and real data, GenWildSplat generalizes across diverse illumination and occlusion patterns. Evaluations on PhotoTourism and a new 20-scene MegaScenes benchmark demonstrate state-of-the-art feed-forward reconstruction quality, achieving real-time inference without test-time optimization."
12,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Generalizing Visual Geometry Priors to Sparse Gaussian Occupancy Prediction,Autonomous Driving,Autonomous Driving,vggt_lineage; gaussian_radiance; depth_correspondence; surface_occupancy; robotics_mapping,single image; video / temporal; LiDAR / driving; RGB-D / depth,depth / normals; Gaussian map; mesh / surface; occupancy / voxel; radiance field / NVS,foundation/prior; unified pipeline; efficiency; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Accurate 3D scene understanding is essential for embodied intelligence, with occupancy prediction emerging as a key task for reasoning about both objects and free space. Existing approaches largely rely on depth priors (e.g., DepthAnything) but make only limited use of 3D cues, restricting performance and generalization. Recently, visual geometry models such as VGGT have shown strong capability in providing rich 3D priors, but similar to monocular depth foundation models, they still operate at the level of visible surfaces rather than volumetric interiors, motivating us to explore how to more effectively leverage these increasingly powerful geometry priors for 3D occupancy prediction.We present GPOcc, a framework that leverages generalizable visual geometry priors (GPs) for monocular occupancy prediction. Our method extends surface points inward along camera rays to generate volumetric samples, which are represented as Gaussian primitives for probabilistic occupancy inference. To handle streaming input, we further design a training-free incremental update strategy that fuses per-frame Gaussians into a unified global representation. Experiments on Occ-ScanNet and EmbodiedOcc-ScanNet demonstrate significant gains: GPOcc improves mIoU by +9.99 in the monocular setting and +11.79 in the streaming setting over prior state of the art. Under the same depth prior, it achieves +6.73 mIoU while running 2.65 $\times$ faster. These results highlight that GPOcc leverages geometry priors more effectively and efficiently. Code will be released."
13,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,GGPT: Geometry-Grounded Point Transformer,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy,multi-view images; multimodal / language,camera pose; point map / point cloud; mesh / surface,foundation/prior; unified pipeline; efficiency,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Recent feed-forward networks have achieved remarkable progress in sparse-view 3D reconstruction by predicting dense point maps directly from RGB images. However, they often suffer from geometric inconsistencies and limited fine-grained accuracy due to the absence of explicit multi-view constraints. We introduce the Geometry-Grounded Point Transformer (GGPT), a framework that augments feed-forward reconstruction with reliable sparse geometric guidance. We first propose an improved Structure-from-Motion pipeline based on dense feature matching and lightweight geometric optimisation to efficiently estimate accurate camera poses and partial 3D point clouds from sparse input views.Building on this foundation, we propose a geometry-guided 3D point transformer that refines dense point maps under explicit sparse-geometry supervision using an optimised guidance encoding. Extensive experiments demonstrate that our method provides a principled mechanism for integrating geometric priors with dense feed-forward predictions, producing reconstructions that are both geometrically consistent and spatially complete, recovering fine structures and filling gaps in textureless areas.Trained solely on ScanNet++ with VGGT predictions, GGPT generalises across architectures and datasets, substantially outperforming state-of-the-art feed-forward 3D reconstruction models in both in-domain and out-of-domain settings. All code and pre-trained models will be released publicly."
14,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Group Editing: Edit Multiple Images in One Go,Generative Models,Image Editing,vggt_lineage; depth_correspondence; dynamic_4d; surface_occupancy; generation_editing; data_benchmark,video / temporal,editable / generative 3D,foundation/prior; unified pipeline; scale; dynamic; benchmark/data; editing/generation,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"In this paper, we tackle the problem of performing consistent and unified modifications across a set of related images. This task is particularly challenging because these images may vary significantly in pose, viewpoint, and spatial layout. Achieving coherent edits requires establishing reliable correspondences across the images, so that modifications can be applied accurately to semantically aligned regions. To address this, we propose GroupEditing, a novel framework that builds both explicit and implicit relationships among images within a group. On the explicit side, we extract geometric correspondences using VGGT, which provides spatial alignment based on visual features. On the implicit side, we reformulate the image group as a pseudo-video and leverage the temporal coherence priors learned by pre-trained video models to capture latent relationships. To effectively fuse these two types of correspondences, we inject the explicit geometric cues from VGGT into the video model through a novel fusion mechanism. To support large-scale training, we construct GroupEditData, a new dataset containing high-quality masks and detailed captions for numerous image groups. Furthermore, to ensure identity preservation during editing, we introduce an alignment-enhanced RoPE module, which improves the model’s ability to maintain consistent appearance across multiple images. Finally, we present GroupEditBench, a dedicated benchmark designed to evaluate the effectiveness of group-level image editing. Extensive experiments demonstrate that GroupEditing significantly outperforms existing methods in terms of visual quality, cross-view consistency, and semantic alignment."
15,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,HTTM: Head-wise Temporal Token Merging for Faster VGGT,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy,video / temporal,camera pose; mesh / surface,efficiency; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"The Visual Geometry Grounded Transformer (VGGT) marks a significant leap forward in 3D scene reconstruction, as it is the first model that directly infers all key 3D attributes (camera poses, depths, and dense geometry) jointly in one pass. However, this joint inference mechanism requires global attention layers that perform all-to-all attention computation on tokens from all views. For reconstruction of large scenes with long-sequence inputs, this causes a significant latency bottleneck. In this paper, we propose head-wise temporal merging (HTTM), a training-free 3D token merging method for accelerating VGGT.Existing merging techniques merge tokens uniformly across different attention heads, resulting in identical tokens in the layers' output, which hinders the model's representational ability. HTTM tackles this problem by merging tokens in multi-head granularity, which preserves the uniqueness of feature tokens after head concatenation. Additionally, this enables HTTM to leverage the spatial locality and temporal correspondence observed at the head level to achieve higher merging ratios with lower merging costs compared to existing methods. Thus, HTTM achieves up to $7\times$ acceleration with negligible performance drops in a GPU-based inference."
16,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,LASER: Layer-wise Scale Alignment for Training-Free Streaming 4D Reconstruction,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy,single image; video / temporal; RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface; 4D scene,foundation/prior; unified pipeline; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Recent feed-forward reconstruction models like VGGT and $\pi^3$ achieve impressive reconstruction quality but cannot process streaming videos due to quadratic memory complexity, limiting their practical deployment. While existing streaming methods address this through learned memory mechanisms or causal attention, they require extensive retraining and may not fully leverage the strong geometric priors of state-of-the-art offline models. We propose LASER, a training-free framework that converts an offline reconstruction model into a streaming system byaligning predictions across consecutive temporal windows. We observe that simple similarity transformation ($Sim(3)$) alignment fails due to layer depth misalignment: monocular scale ambiguity causes relative depth scales of different scene layers to vary inconsistently between windows. To address this, we introduce layer-wise scale alignment, which segments depth predictions into discrete layers, computes per-layer scale factors, and propagates them across both adjacent windows and timestamps.Extensive experiments show that LASER achieves state-of-the-art performance on camera pose estimation and point map reconstruction while operating at 14 FPS with 6 GB peak memory on a RTX A6000 GPU, enabling practical deployment for kilometer-scale streaming videos.Our code will be released publicly."
17,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Learning 3D Reconstruction with Priors in Test Time,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy,multi-view images; RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface,foundation/prior; unified pipeline,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"We introduce a test-time framework for multiview Transformers (MVTs) that    incorporates priors (e.g., camera poses, intrinsics, and depth) to improve 3D tasks,     without retraining or modifying the pre-trained image-only networks.    Rather than feeding priors into the architecture,    we cast them as constraints on the predictions and optimize the network at inference.    The optimization loss is composed of a self-supervised objective and prior penalty terms.    The self-supervised objective is defined as the compatibility among multi-view predictions,     implemented by the photometric or geometric loss between the renderings from other views and each view itself.    Any available priors are turned into the penalty terms on the corresponding output modalities.    Across a series of 3D vision benchmarks, including point map estimation and camera pose estimation,     our method consistently improves performance over base MVTs by a large margin.    On ETH3D, 7-Scenes, and NRGBD datasets, our method cuts the point map distance error by more than half compared to the base image-only models.    Our method also outperforms those re-trained prior-aware feed-forward methods,    demonstrating the effectiveness of our test-time constrained optimization (TCO) framework, in incorporating priors for 3D vision tasks."
18,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Learning to Drive is a Free Gift: Large-Scale Label-Free Autonomy Pretraining from Unposed In-The-Wild Videos,Autonomous Driving,Autonomous Driving,vggt_lineage; pose_calibration_localization; dynamic_4d; robotics_mapping; data_benchmark,single image; video / temporal; LiDAR / driving; multimodal / language,camera pose; point map / point cloud; 4D scene,foundation/prior; unified pipeline; scale; robustness; dynamic; benchmark/data,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Ego-centric driving videos available online provide an abundant source of visual data for autonomous driving, yet their lack of annotations makes it difficult to learn representations that capture both semantic structure and 3D geometry. Recent advances in large feedforward spatial models demonstrate that point maps and ego-motion can be inferred in a single forward pass, suggesting a promising direction for scalable driving perception. We therefore propose a label-free, teacher-guided framework for learning autonomous driving representations directly from unposed videos. Unlike prior self-supervised approaches that focus primarily on frame-to-frame consistency, we posit that safe and reactive driving depends critically on temporal context. To this end, we leverage a feedforward architecture equipped with a lightweight autoregressive module, trained using multi-modal supervisory signals that guide the model to jointly predict current and future point maps, camera poses, semantic layouts, and motion masks. Multi-modal teachers provide sequence-level pseudo-supervision, enabling LFG to learn a unified pseudo-4D representation from raw YouTube videos without poses, labels, or LiDAR. The resulting encoder not only transfers effectively to downstream autonomous driving planning on the NAVSIM benchmark, surpassing multi-camera and LiDAR baselines with only a single monocular camera, but also yields strong performance when evaluated on a range of semantic, geometric, and motion prediction tasks. These geometry- and motion-aware features position LFG as a compelling video-centric foundation model for autonomous driving."
19,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,MoRE: 3D Visual Geometry Reconstruction Meets Mixture-of-Experts,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; depth_correspondence; surface_occupancy; data_benchmark,RGB-D / depth; multimodal / language,depth / normals; mesh / surface,foundation/prior; scale; robustness; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Recent advances in language and vision have demonstrated that scaling up model capacity consistently improves performance across diverse tasks.In 3D visual geometry reconstruction, large-scale training has likewise proven effective for learning versatile representations.However, further scaling of 3D models is challenging due to the complexity of geometric supervision and the diversity of 3D data. To overcome these limitations, we propose MoRE, a dense 3D visual foundation model based on a Mixture-of-Experts (MoE) architecture that dynamically routes features to task-specific experts, allowing them to specialize in complementary data aspects and enhance both scalability and adaptability.Aiming to improve robustness under real-world conditions, MoRE incorporates a confidence-based depth refinement module that stabilizes and refines geometric estimation.In addition, it integrates dense semantic features with globally aligned 3D backbone representations for high-fidelity surface normal prediction.MoRE is further optimized with tailored loss functions to ensure robust learning across diverse inputs and multiple geometric tasks.Extensive experiments demonstrate that MoRE achieves state-of-the-art performance across multiple benchmarks and supports effective downstream applications without extra computation."
20,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,MotionCrafter: Repurposing Video Generators for Dense Geometry and Motion Reconstruction,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; dynamic_4d; surface_occupancy; generation_editing,single image; video / temporal,point map / point cloud; mesh / surface; 4D scene; editable / generative 3D,foundation/prior; unified pipeline; dynamic; editing/generation,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"We introduce MotionCrafter, the first video diffusion-based framework that jointly reconstructs 4D geometry and estimates dense motion from a monocular video. To represent them effectively in latent space, we propose a 4D VAE that encodes point maps and scene flows as a unified latent compatible with pretrained video generators. Unlike prior work that forces the 3D value and latents to align strictly with RGB VAE latents—despite their fundamentally different distributions—we show that such alignment is unnecessary and leads to suboptimal performance. Instead, we introduce a new data normalization and VAE training strategy that better transfers diffusion priors and greatly improves reconstruction quality. Extensive experiments across multiple datasets demonstrate that MotionCrafter achieves state-of-the-art performance in joint 4D geometry reconstruction and dense scene flow estimation, delivering 38.64\% and 25.0\% improvements in geometry and motion reconstruction, respectively, all without any post-optimization."
21,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,OmniVGGT: Omni-Modality Driven Visual Geometry Grounded Transformer,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy,single image; multi-view images; RGB-D / depth; multimodal / language,camera pose; depth / normals; mesh / surface,foundation/prior; robustness,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"General 3D foundation models have started to lead the trend of unifying diverse vision tasks, yet most assume RGB-only inputs and ignore readily available geometric cues (e.g., camera intrinsics, poses, and depth maps). To address this issue, we introduce OmniVGGT, a novel framework that can effectively benefit from an arbitrary number of auxiliary geometric modalities during both training and inference. In our framework, a GeoAdapter is proposed to encode depth and camera intrinsics/extrinsics into a spatial foundation model. It employs zero-initialized convolutions to progressively inject geometric information without disrupting the foundation model's representation space. This design ensures stable optimization with negligible overhead, maintaining inference speed comparable to VGGT even with multiple additional inputs. Additionally, a stochastic multimodal fusion regimen is proposed, which randomly samples modality subsets per instance during training. This enables an arbitrary number of modality inputs during testing and promotes learning robust spatial representations instead of overfitting to auxiliary cues. Comprehensive experiments on monocular/multi-view depth estimation, multi-view stereo, and camera pose estimation demonstrate that OmniVGGT outperforms prior methods with auxiliary inputs and achieves state-of-the-art results even with RGB-only input. To further highlight its practical utility, we integrated OmniVGGT into vision-language-action (VLA) models. The enhanced VLA model by OmniVGGT not only outperforms the vanilla point-cloud-based baseline on mainstream benchmarks, but also effectively leverages accessible auxiliary inputs to achieve consistent gains on robotic tasks."
